"TIMESTAMP,""StationID"",""WSpd_Min"",""WSpd_TMn"",""WSpd_Max"",""WSpd_TMx"",""WSpd_Avg"",""WSpd_Std"",""WDir_Avg"",""WDir_Std"",""AirTemp_Min"",""AirTemp_TMn"",""AirTemp_Max"",""AirTemp_TMx"",""AirTemp_Avg"",""RH_Min"",""RH_TMn"",""RH_Max"",""RH_TMx"",""DewPointTemp_Min"",""DewPointTemp_TMn"",""DewPointTemp_Max"",""DewPointTemp_TMx"",""DewPointTemp_Avg"",""SlrW_Max"",""SlrW_TMx"",""SlrW_Avg"",""SlrMJ_Tot"",""Rain_Tot"",""BPress_Min"",""BPress_TMn"",""BPress_Max"",""BPress_TMx"",""BPress_Avg"",""LoggerSerialNumber"",""ProgramName"",""ProgramSignature"",""LoggerBattery_Min"",""LoggerBattery_TMn"",""LoggerBattery_Max"",""LoggerBattery_TMx"",""LoggerBattery_Avg"",""LoggerTemp_Min"",""LoggerTemp_TMn"",""LoggerTemp_Max"",""LoggerTemp_TMx"",""LoggerTemp_Avg"",""LoggerLithiumBatt"",""PingTime_Avg"",""ScanCount"",""ETos"",""Rso"",""SunHrs_Tot"",""WC_C_Min"",""WC_C_TMn"""
"TS,"""",""m/s"",""m/s"",""m/s"",""m/s"",""m/s"",""m/s"",""Deg"",""Deg"",""DegC"",""DegC"",""DegC"",""DegC"",""DegC"",""%"",""%"",""%"",""%"",""DegC"",""DegC"",""DegC"",""DegC"",""DegC"",""W/m^2"",""W/m^2"",""W/m^2"",""MJ/m^2"",""mm"",""hPa"",""hPa"",""hPa"",""hPa"",""hPa"","""","""","""",""V"",""V"",""V"",""V"",""V"",""degC"",""degC"",""degC"",""degC"",""degC"","""",""msec"","""",""mm"",""MJ/m²"",""hours"",""Deg C"",""Deg C"""
",""Smp"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Std"",""WVc"",""WVc"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Min"",""TMn"",""Max"",""TMx"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Max"",""TMx"",""Avg"",""Tot"",""Tot"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Smp"",""Smp"",""Smp"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Smp"",""Avg"",""Tot"",""ETXs"",""Rso"",""Tot"",""Min"",""TMn"""
"2026-04-19 00:00:00,""UFS_AWS_3_4809"",0.9,""2026-04-18 00:00:00"",30.9,""2026-04-18 00:00:00"",12.0,3.9,290.5,13.5,7.2,""2026-04-18 00:00:00"",13.8,""2026-04-18 00:00:00"",10.9,38.4,""2026-04-18 00:00:00"",94.1,""2026-04-18 00:00:00"",-0.7,""2026-04-18 00:00:00"",7.5,""2026-04-18 00:00:00"",3.4,848.7,""2026-04-18 00:00:00"",222.8,19.2,2.2,742.7,""2026-04-18 00:00:00"",748.8,""2026-04-18 00:00:00"",746.4,""25856"",""CPU:UFS_AWS_3_4809_V1R0_20250719.CR300"",""33629"",12.6,""2026-04-18 00:00:00"",14.1,""2026-04-18 00:00:00"",13.3,9.9,""2026-04-18 00:00:00"",21.2,""2026-04-18 00:00:00"",15.6,""OK ON POWER UP"",588.5,86400.0,1.9,3.0,8.4,0.8,""2026-04-18 00:00:00"""
"2026-04-20 00:00:00,""UFS_AWS_3_4809"",1.7,""2026-04-19 00:00:00"",30.2,""2026-04-19 00:00:00"",13.0,3.4,289.8,11.8,7.1,""2026-04-19 00:00:00"",15.7,""2026-04-19 00:00:00"",11.4,44.0,""2026-04-19 00:00:00"",93.1,""2026-04-19 00:00:00"",2.5,""2026-04-19 00:00:00"",8.2,""2026-04-19 00:00:00"",5.5,1080.9,""2026-04-19 00:00:00"",155.6,13.4,1.6,743.8,""2026-04-19 00:00:00"",748.7,""2026-04-19 00:00:00"",746.4,""25856"",""CPU:UFS_AWS_3_4809_V1R0_20250719.CR300"",""33629"",12.6,""2026-04-19 00:00:00"",14.0,""2026-04-19 00:00:00"",13.2,12.0,""2026-04-19 00:00:00"",23.8,""2026-04-19 00:00:00"",16.0,""OK ON POWER UP"",535.4,86400.0,1.3,2.9,5.0,0.0,""2026-04-19 00:00:00"""
"2026-04-21 00:00:00,""UFS_AWS_3_4809"",0.0,""2026-04-20 00:00:00"",35.5,""2026-04-20 00:00:00"",16.0,4.7,290.6,14.0,8.0,""2026-04-20 00:00:00"",15.0,""2026-04-20 00:00:00"",12.3,34.7,""2026-04-20 00:00:00"",85.3,""2026-04-20 00:00:00"",-2.7,""2026-04-20 00:00:00"",6.0,""2026-04-20 00:00:00"",1.6,842.6,""2026-04-20 00:00:00"",237.8,20.5,0.0,743.1,""2026-04-20 00:00:00"",750.6,""2026-04-20 00:00:00"",746.7,""25856"",""CPU:UFS_AWS_3_4809_V1R0_20250719.CR300"",""33629"",12.5,""2026-04-20 00:00:00"",13.9,""2026-04-20 00:00:00"",13.2,12.8,""2026-04-20 00:00:00"",22.3,""2026-04-20 00:00:00"",17.4,""OK ON POWER UP"",461.4,86400.0,1.9,2.9,10.3,2.5,""2026-04-20 00:00:00"""
"2026-04-22 00:00:00,""UFS_AWS_3_4809"",0.9,""2026-04-21 00:00:00"",33.2,""2026-04-21 00:00:00"",12.3,5.2,290.3,12.2,6.6,""2026-04-21 00:00:00"",14.4,""2026-04-21 00:00:00"",11.1,36.1,""2026-04-21 00:00:00"",92.3,""2026-04-21 00:00:00"",-2.1,""2026-04-21 00:00:00"",5.6,""2026-04-21 00:00:00"",3.2,865.8,""2026-04-21 00:00:00"",178.2,15.4,1.2,744.7,""2026-04-21 00:00:00"",750.2,""2026-04-21 00:00:00"",748.5,""25856"",""CPU:UFS_AWS_3_4809_V1R0_20250719.CR300"",""33629"",12.7,""2026-04-21 00:00:00"",13.9,""2026-04-21 00:00:00"",13.2,11.6,""2026-04-21 00:00:00"",21.3,""2026-04-21 00:00:00"",15.4,""OK ON POWER UP"",402.5,86400.0,1.5,2.9,7.0,0.5,""2026-04-21 00:00:00"""
"2026-04-23 00:00:00,""UFS_AWS_3_4809"",0.0,""2026-04-22 00:00:00"",10.7,""2026-04-22 00:00:00"",2.9,1.8,245.7,65.0,1.9,""2026-04-22 00:00:00"",10.7,""2026-04-22 00:00:00"",7.3,62.4,""2026-04-22 00:00:00"",98.4,""2026-04-22 00:00:00"",1.6,""2026-04-22 00:00:00"",8.7,""2026-04-22 00:00:00"",5.6,705.0,""2026-04-22 00:00:00"",75.4,6.5,5.6,748.3,""2026-04-22 00:00:00"",754.9,""2026-04-22 00:00:00"",751.3,""25856"",""CPU:UFS_AWS_3_4809_V1R0_20250719.CR300"",""33629"",12.5,""2026-04-22 00:00:00"",14.1,""2026-04-22 00:00:00"",13.2,5.7,""2026-04-22 00:00:00"",24.1,""2026-04-22 00:00:00"",13.9,""OK ON POWER UP"",618.7,86400.0,0.8,2.9,1.1,-4.2,""2026-04-22 00:00:00"""
"2026-04-24 00:00:00,""UFS_AWS_3_4809"",0.0,""2026-04-23 00:00:00"",9.9,""2026-04-23 00:00:00"",3.0,1.4,138.1,44.1,1.6,""2026-04-23 00:00:00"",5.3,""2026-04-23 00:00:00"",3.2,98.3,""2026-04-23 00:00:00"",99.1,""2026-04-23 00:00:00"",1.4,""2026-04-23 00:00:00"",5.1,""2026-04-23 00:00:00"",3.0,803.1,""2026-04-23 00:00:00"",82.9,7.2,1.6,754.5,""2026-04-23 00:00:00"",757.5,""2026-04-23 00:00:00"",755.9,""25856"",""CPU:UFS_AWS_3_4809_V1R0_20250719.CR300"",""33629"",12.5,""2026-04-23 00:00:00"",14.1,""2026-04-23 00:00:00"",13.3,5.1,""2026-04-23 00:00:00"",15.2,""2026-04-23 00:00:00"",8.6,""OK ON POWER UP"",644.8,86400.0,0.8,2.9,1.2,-4.2,""2026-04-23 00:00:00"""
"2026-04-25 00:00:00,""UFS_AWS_3_4809"",0.0,""2026-04-24 00:00:00"",15.9,""2026-04-24 00:00:00"",4.1,3.1,286.6,33.7,3.6,""2026-04-24 00:00:00"",6.7,""2026-04-24 00:00:00"",5.5,82.1,""2026-04-24 00:00:00"",99.2,""2026-04-24 00:00:00"",3.5,""2026-04-24 00:00:00"",6.1,""2026-04-24 00:00:00"",5.1,310.4,""2026-04-24 00:00:00"",42.9,3.7,18.8,750.7,""2026-04-24 00:00:00"",755.1,""2026-04-24 00:00:00"",753.0,""25856"",""CPU:UFS_AWS_3_4809_V1R0_20250719.CR300"",""33629"",12.5,""2026-04-24 00:00:00"",14.1,""2026-04-24 00:00:00"",13.2,7.2,""2026-04-24 00:00:00"",14.2,""2026-04-24 00:00:00"",10.2,""OK ON POWER UP"",483.2,86400.0,0.4,2.8,0.5,-0.4,""2026-04-24 00:00:00"""
"2026-04-26 00:00:00,""UFS_AWS_3_4809"",0.0,""2026-04-25 00:00:00"",19.7,""2026-04-25 00:00:00"",6.0,3.2,288.3,35.6,4.7,""2026-04-25 00:00:00"",13.4,""2026-04-25 00:00:00"",9.2,48.5,""2026-04-25 00:00:00"",99.2,""2026-04-25 00:00:00"",0.6,""2026-04-25 00:00:00"",7.9,""2026-04-25 00:00:00"",4.1,1162.5,""2026-04-25 00:00:00"",210.7,18.2,0.0,750.0,""2026-04-25 00:00:00"",753.0,""2026-04-25 00:00:00"",751.7,""25856"",""CPU:UFS_AWS_3_4809_V1R0_20250719.CR300"",""33629"",12.5,""2026-04-25 00:00:00"",14.0,""2026-04-25 00:00:00"",13.2,7.9,""2026-04-25 00:00:00"",24.4,""2026-04-25 00:00:00"",15.4,""OK ON POWER UP"",501.4,86400.0,2.1,2.8,8.2,-1.4,""2026-04-25 00:00:00"""
"2026-04-27 00:00:00,""UFS_AWS_3_4809"",0.0,""2026-04-26 00:00:00"",21.2,""2026-04-26 00:00:00"",5.6,3.5,289.3,30.5,8.3,""2026-04-26 00:00:00"",16.8,""2026-04-26 00:00:00"",11.6,35.1,""2026-04-26 00:00:00"",74.1,""2026-04-26 00:00:00"",-0.4,""2026-04-26 00:00:00"",7.4,""2026-04-26 00:00:00"",2.6,1060.1,""2026-04-26 00:00:00"",223.2,19.3,0.0,749.8,""2026-04-26 00:00:00"",753.0,""2026-04-26 00:00:00"",751.4,""25856"",""CPU:UFS_AWS_3_4809_V1R0_20250719.CR300"",""33629"",12.6,""2026-04-26 00:00:00"",13.8,""2026-04-26 00:00:00"",13.2,10.0,""2026-04-26 00:00:00"",27.8,""2026-04-26 00:00:00"",17.7,""OK ON POWER UP"",439.6,86400.0,2.5,2.8,10.1,4.6,""2026-04-26 00:00:00"""
"2026-04-28 00:00:00,""UFS_AWS_3_4809"",0.0,""2026-04-27 00:00:00"",31.7,""2026-04-27 00:00:00"",12.3,5.4,298.7,28.1,5.2,""2026-04-27 00:00:00"",12.8,""2026-04-27 00:00:00"",10.6,20.2,""2026-04-27 00:00:00"",82.8,""2026-04-27 00:00:00"",-12.3,""2026-04-27 00:00:00"",6.7,""2026-04-27 00:00:00"",1.2,1161.2,""2026-04-27 00:00:00"",189.4,16.4,0.2,744.4,""2026-04-27 00:00:00"",750.1,""2026-04-27 00:00:00"",747.9,""25856"",""CPU:UFS_AWS_3_4809_V1R0_20250719.CR300"",""33629"",12.6,""2026-04-27 00:00:00"",14.0,""2026-04-27 00:00:00"",13.2,7.4,""2026-04-27 00:00:00"",21.3,""2026-04-27 00:00:00"",16.2,""OK ON POWER UP"",428.4,86400.0,1.6,2.8,7.5,0.1,""2026-04-27 00:00:00"""
"2026-04-29 00:00:00,""UFS_AWS_3_4809"",0.0,""2026-04-28 00:00:00"",18.2,""2026-04-28 00:00:00"",2.8,2.6,330.7,72.0,1.7,""2026-04-28 00:00:00"",12.6,""2026-04-28 00:00:00"",6.4,17.7,""2026-04-28 00:00:00"",97.8,""2026-04-28 00:00:00"",-12.2,""2026-04-28 00:00:00"",5.1,""2026-04-28 00:00:00"",-1.4,793.6,""2026-04-28 00:00:00"",221.4,19.1,0.0,746.2,""2026-04-28 00:00:00"",750.8,""2026-04-28 00:00:00"",748.3,""25856"",""CPU:UFS_AWS_3_4809_V1R0_20250719.CR300"",""33629"",12.6,""2026-04-28 00:00:00"",14.0,""2026-04-28 00:00:00"",13.2,5.9,""2026-04-28 00:00:00"",25.1,""2026-04-28 00:00:00"",14.6,""OK ON POWER UP"",424.4,86400.0,2.5,2.8,9.8,-3.2,""2026-04-28 00:00:00"""
"2026-04-30 00:00:00,""UFS_AWS_3_4809"",0.0,""2026-04-29 00:00:00"",16.7,""2026-04-29 00:00:00"",3.3,2.6,293.3,55.3,-2.0,""2026-04-29 00:00:00"",9.9,""2026-04-29 00:00:00"",4.9,26.5,""2026-04-29 00:00:00"",98.5,""2026-04-29 00:00:00"",-13.0,""2026-04-29 00:00:00"",4.3,""2026-04-29 00:00:00"",-0.1,971.6,""2026-04-29 00:00:00"",206.2,17.8,0.0,749.9,""2026-04-29 00:00:00"",753.4,""2026-04-29 00:00:00"",751.8,""25856"",""CPU:UFS_AWS_3_4809_V1R0_20250719.CR300"",""33629"",12.6,""2026-04-29 00:00:00"",14.1,""2026-04-29 00:00:00"",13.2,2.5,""2026-04-29 00:00:00"",21.8,""2026-04-29 00:00:00"",12.3,""OK ON POWER UP"",296.3,86400.0,2.1,2.8,8.4,-4.8,""2026-04-29 00:00:00"""
